,sentence1,sentence2,similarity_score,TFIDF_cosine_score,rank_by_TFIDF_cosine_score,rank_by_similarity_score,d,d^2
5144,bradley fanning wikileaks case turn sentence,fanning wikileaks case turn sentencing phase,5.0,0.6333580484145359,3658,5629,-1971,3884841
5145,egypt poll cent vote yes new constitution,egypt hold key vote constitution,2.400000095367432,0.5234740648540954,2816,2263,553,305809
5146,ran global power sign landmark nuclear deal,ran world power agree nuclear deal,4.599999904632568,0.5321563005740017,2888,5171,-2283,5212089
5147,israel force arrest palestinians overnight west bank maid,israel classify jerusalem native noncitizen,1.0,0.07723042345913078,444,960,-516,266256
5148,vague concern conduct zimbabwe election,zimbabwe grave concerns election,2.799999952316284,0.353547422140395,1727,2731,-1004,1008016
5149,long long stock end high,indian stock open high,0.6000000238418579,0.335496136527765,1626,699,927,859329
5150,dignitary pay tribute paul desmarais,star pay tribute james earner,0.4000000059604645,0.37453366437373686,1842,465,1377,1896129
5151,southwest ground flight computer pitch,southwest flight delay cancel computer pitch,4.199999809265137,0.732200195961198,4390,4730,-340,115600
5152,vatican embassy syria hit mortar fire,vatican embassy syria hit mortar injury,3.5999999046325684,0.8902752016733724,5363,3772,1591,2531281
5153,north block access joint industrial zone,north locks access key industrial,4.199999809265137,0.48871866420940024,2574,4716,-2142,4588164
5154,islamic militant kill foreign tourist pakistani,lumen foreign tourist pakistan,2.799999952316284,0.4418859623349626,2263,2747,-484,234256
5155,western force attack islamic militant base somalia,western power scramble befriend lodi,1.0,0.1648510288174375,842,953,-111,12321
5156,long long set huge democracy rally hanover anniversary,long long set huge democracy rally,3.799999952316284,0.8431173163724427,5124,4146,978,956484
5157,suicide bomber kill ran,suicide bomber attack primary school ran kill,3.0,0.7174985876989635,4275,3026,1249,1560001
5158,child bury alive fool landslide,line child die attack afghanistan attack,0.4000000059604645,0.10761610211644591,574,463,111,12321
5159,kill cava indonesia volcano erupts,dead indonesian eruption,3.0,0.0,199,3014,-2815,7924225
5160,kill india building collapse,kill comb lasts ran,0.6000000238418579,0.11130016940339722,602,701,-99,9801
5161,egypt presidential election begin,egypt issue long wait presidential election law,2.799999952316284,0.5201241940820835,2796,2719,77,5929
5162,evangelist kill son popular evangelist sick warren kill,popular evangelist warren kill,4.400000095367432,0.861452904397799,5225,4982,243,59049
5163,italian parliament back new,brain derailment hills new work,0.0,0.13366384728605585,711,92,619,383161
5164,russian lawmaker pass new bill restrict internet,russia say ballistic object fire mediterranean,0.4000000059604645,0.0,204,497,-293,85849
5165,super typhoon haiyan strong reason laws philippines,super typhoid haiyan close philippines,3.400000095367432,0.54904483492791,3022,3596,-574,329476
5166,dato condemn ukraine crackdown,bond well region,0.0,0.0,207,93,114,12996
5167,china investigate wine export,christine investigation heat,1.2000000476837158,0.0,208,1201,-993,986049
5168,conan white house correspondent dinner,drama versions white house correspondent dinner,3.5999999046325684,0.6527715290661489,3796,3831,-35,1225
5169,boston bomb suspect charge religious motive see,boston come suspect charge hospital bed,3.0,0.44044638736021996,2251,3029,-778,605284
5170,sign market mix china trade datum,sign market slump central bank stimulus fear,1.399999976158142,0.24342766848812003,1138,1367,-229,52441
5171,world old person die japan,jiroemon kimura world old person die aged,4.800000190734863,0.491965652215213,2598,5445,-2847,8105409
5172,foreign exchange rate india,foreign exchange rate singapore,1.399999976158142,0.7484705519368808,4514,1368,3146,9897316
5173,colorado wildlife destroy home wind bad,colorado wildlife big property destroy state history,3.5999999046325684,0.5313527272788428,2883,3749,-866,749956
5174,earthquake magnitude strike indonesia island,earthquake magnitude strike thailand,2.0,0.5923266619818162,3353,1944,1409,1985281
5175,afghan get hold peace talk taliban,pakistan hold direct talk taliban,2.0,0.5449188621896363,2991,1943,1048,1098304
5176,news terrorist israel palestinian conflict january,news terrorist israel palestinian conflict july august,3.0,0.7144884494329171,4250,2973,1277,1630729
5177,late early intervene syria,chief inspector need day conclude probe syria,1.600000023841858,0.09495735965753563,507,1470,-963,927369
5178,ran nuclear negotiating team leave kazakhstan,ran nuclear quest cost tehran billion,1.0,0.16757455214538147,855,958,-103,10609
5179,factory order january,german factory order rebound january,0.800000011920929,0.7512463317621382,4536,772,3764,14167696
5180,lumen surround tibia foreign ministry rush demands,luman surround libyan foreign ministry push demand,5.0,0.40235847884873993,2020,5624,-3604,12988816
5181,typhoon death toll rise,egyptian death toll rise,0.6000000238418579,0.6250892845835531,3593,713,2880,8294400
5182,agenda president sign anti gay bill,agenda president sign harsh anti gay law,4.199999809265137,0.8243874026816976,5008,4765,243,59049
5183,russian parliament allow ruin use military ukraine,russia intention incorporate southwestern ukraine,1.7999999523162842,0.1278877768833493,690,1660,-970,940900
5184,bradley fanning acquit aid enemy,wikileak soldier bradley fanning acquit aid enemy,4.400000095367432,0.8524216308342009,5177,4989,188,35344
5185,intensify russia sanction,ukraine years russian invasion,0.6000000238418579,0.0,205,660,-455,207025
5186,lock band plane make emergency landing,lock hands lane take emergency landing,5.0,0.5540181589442147,3064,5622,-2558,6543364
5187,russian crime minister second crimea visit,russia warn set precondition syria,0.800000011920929,0.0,202,863,-661,436921
5188,judge force feed california inmate,judge approve force feed californian inmate hunger strike,4.599999904632568,0.6135431691212512,3515,5167,-1652,2729104
5189,sang violence kill venezuelan prison,sixteen kill venezuela prison,4.0,0.25601427667357746,1202,4560,-3358,11276164
5190,military deaths afghanistan,military deaths afghanistan,3.400000095367432,1.0,5671,3495,2176,4734976
5191,israel palestinians seek meeting monday official,palestinians want merry mission nail,1.399999976158142,0.18589002232691543,932,1370,-438,191844
5192,tropical storm aren target gulf coast,tropical storm aren pose windfall,3.799999952316284,0.5523233638258772,3053,4168,-1115,1243225
5193,beam lean irish poet soil strife lie,beam lean irish poet noble winner die,4.800000190734863,0.6153171693825614,3527,5374,-1847,3411409
5194,bangladesh islamists rally atheist bagger,bangladeshi islamists rally demand action atheist bagger,4.599999904632568,0.7265380868322421,4333,5157,-824,678976
5195,crash malaysia airline light eastern ukraine,malaysia airline plane clash ukraine russia border,4.0,0.49568891186145747,2632,4672,-2040,4161600
5196,suicide bomber kill restaurant central somalia,suicide bomber kill paul,1.7999999523162842,0.5083110125461648,2717,1711,1006,1012036
5197,anthony reined slip fourth place new poll,rein fall fourth new nyc moral poll,5.0,0.3229250973778276,1556,5617,-4061,16491721
5198,india accuse china cross de facto border,senate house collision course border money,0.6000000238418579,0.15715559893440154,806,711,95,9025
5199,pregnant sudan woman marry christian man sentence death apostasy,sudan free christian woman sentence death apostasy,2.799999952316284,0.7313841322307251,4384,2662,1722,2965284
5200,diplomat merry wife rush hospital,secretary state john wife rush hospital,5.0,0.5272986633794527,2839,5615,-2776,7706176
5201,merry pursue quiet strategy ideas peace process,merry meet israel leader push ideas peace,3.799999952316284,0.40784570792077046,2051,4141,-2090,4368100
5202,north say start nuclear reactor,north offer talk complex open,3.5999999046325684,0.15882233697681136,813,3783,-2970,8820900
5203,egyptian court consider release,egypt court order mubarak release,4.0,0.37453591711621326,1843,4637,-2794,7806436
5204,suicide bomber kill wound afghan capital police,suicide bomb kill syrian capital old city,0.800000011920929,0.3996191764684637,1999,787,1212,1468944
5205,boston come suspect charge hospital bed,week later boston honor come victim suspect unable speak,1.2000000476837158,0.35958172591453774,1751,1202,549,301401
5206,rain hamper indian flood rescue,tourist gang rapid northern india police,0.4000000059604645,0.0,227,462,-235,55225
5207,look major terror attack africa,security council slum deadly terrorist attack demyan capital,1.600000023841858,0.09143269171492448,491,1465,-974,948676
5208,russia respond ukraine ceasefire,typhus prove ukraine asset,0.800000011920929,0.17274706218757485,882,750,132,17424
5209,long un execute horse dog uncle,chorea execute long uncle,3.5,0.7217646458197418,4307,3711,596,355216
5210,colourful support world brazil,jerk attend world final,1.2000000476837158,0.16064287664914886,822,1203,-381,145161
5211,angela remain hospital,angela remain intensive care,3.5999999046325684,0.5048911803385521,2695,3779,-1084,1175056
5212,south merry grow member stand trial,jewel ferry crew face trial,4.400000095367432,0.1568863008025974,805,5119,-4314,18610596
5213,egypt vote new constitution,egyptians note new constitution,5.0,0.48926486466635255,2579,5633,-3054,9326916
5214,drone strike kill pakistan official,drone kill militant pakistan,2.799999952316284,0.6458741830238731,3756,2703,1053,1108809
5215,vietnam defect signal miss plane,china expand search area miss plane,2.0,0.30569570519496314,1459,1855,-396,156816
5216,cricket england v australia fourth test scoreboard,cricket england v australia fourth test tea,4.0,0.7895711154352478,4796,4385,411,168921
5217,birthday dprk celebrate peru,curiosity celebrates dear war,0.4000000059604645,0.0,230,576,-346,119716
5218,powerful quaker strike solomon,powerful quaker strike california coast,2.200000047683716,0.6150565972382417,3524,2072,1452,2108304
5219,india ink image,india ink image january,1.7999999523162842,0.8384258290266856,5096,1650,3446,11874916
5220,australia leader dust snap leadership vote,australian millard dust leadership vote,4.0,0.5498079659865025,3033,4351,-1318,1737124
5221,drama condemn egypt violence cancer military exercise,pakistan condemn violence egypt,0.800000011920929,0.5858366197680767,3289,832,2457,6036849
5222,argentina declare mourn flood victim,parent demand common form nursery admission,0.0,0.0,218,367,-149,22201
5223,prince christen blend old new,prince george christening baptism plan royal baby godparent detail,2.200000047683716,0.14588546149089354,763,2058,-1295,1677025
5224,papers,papers sov,2.3299999237060547,0.7373123874018873,4432,2165,2267,5139289
5225,google release nexus phone,google design search result,1.0,0.2461920055872582,1151,986,165,27225
5226,coming aim hezbollah southern beirut,explosion hezbollah area south beirut,4.199999809265137,0.46135655352720184,2380,4792,-2412,5817744
5227,ally add sanction russia ukraine,flaps new actions russia ukraine,3.0,0.2897566726905586,1368,2857,-1489,2217121
5228,factory run organ cooperation silent,north south break silence talk,1.0,0.0,216,984,-768,589824
5229,chinese premier meet indian vice president,hezbollah urge elect new lebanese president,0.0,0.09728819822336533,515,360,155,24025
5230,algerian president france medical test,algerian president france medical test minor stroke,3.5999999046325684,0.7773885410122849,4703,3830,873,762129
5231,islamist hold hostage sonya mall standoff continue,death toll rise sonya mall siege continue,3.200000047683716,0.4320150652303392,2200,3258,-1058,1119364
5232,manchester city win second premier league title year,manchester city win english premier league title,3.799999952316284,0.8415201765710619,5111,4208,903,815409
5233,body crash victim fly netherlands,dead fly netherlands,4.800000190734863,0.6114806364297836,3501,5475,-1974,3896676
5234,egypt policeman kill final attack,egyptian soldier kill final attack,3.400000095367432,0.48644716284569867,2548,3609,-1061,1125721
5235,extension likely ran nuclear talk,oil slip ahead ran nuclear talk,1.399999976158142,0.35383585358872655,1729,1347,382,145924
5236,fire kill russian psychiatric institution,fear dead russian psychiatric hospital fire,3.5999999046325684,0.5098776837378171,2725,3815,-1090,1188100
5237,russia warn sign landmarks arms treaty,close landmark arm treaty,1.600000023841858,0.16959621071066341,868,1468,-600,360000
5238,wider renders syria,drama day crime time syria,1.600000023841858,0.12240313906966498,661,1462,-801,641601
5239,north expert dialogue china play,north cut tie south bar joint industrial park,0.800000011920929,0.11646894743538198,628,815,-187,34969
5240,china stock open high monday,china stock close lower thursday,1.0,0.31537237371953153,1512,965,547,299209
5241,bony peri x series veil,court order political ban berlusconi,0.0,0.0,179,293,-114,12996
5242,new coronavirus probably pass person,new virus probably pass person person,3.799999952316284,0.6784200735995171,3983,4219,-236,55696
5243,angela hospital condition,elson angela return hospital condition,5.0,0.7540272420558074,4554,5634,-1080,1166400
5244,harlem explosion death toll rise,mexico storm death toll continue rise,0.0,0.4059908117405015,2041,295,1746,3048516
5245,ukrainian crime minister design amid protest,british crime minister condemn murder ten,0.0,0.3421699515318254,1670,300,1370,1876900
5246,royal hoax takes action station,taliban bomb base afghanistan,0.0,0.0,281,302,-21,441
5247,arsenal v stoke city live,tottenham v manchester city live,2.200000047683716,0.34298500905496476,1672,2064,-392,153664
5248,business news market happen april,business news market happen june,2.400000095367432,0.8009393069652685,4873,2216,2657,7059649
5249,ran world power begin new round nuclear talk,ran world power pledge new nuclear talk,4.199999809265137,0.7095421847634928,4213,4896,-683,466489
5250,tropical storm aren target gulf coast,tropical storm aren weaken year gulf coast,2.5999999046325684,0.7999257775560971,4863,2486,2377,5650129
5251,worker kill india building collapse,kill bangladesh building collapse,3.0,0.6113647576404448,3500,2921,579,335241
5252,north fire short range missile,fire short range missile,3.799999952316284,0.9104113992272709,5447,4226,1221,1490841
5253,war comb hills northwest pakistan,comb kill northwest pakistan,2.5999999046325684,0.7382217836352427,4441,2470,1971,3884841
5254,malaysia airline lose contact plane carry seizing,malaysia airline plane vanishe flight seizing,4.0,0.5819473386641982,3260,4459,-1199,1437601
5255,microsoft say cut job,microsoft cut job overhaul,5.0,0.739089849251732,4446,5581,-1135,1288225
5256,malaysians vote poll stability change,malaysia election malaysians vote power stake time,3.400000095367432,0.36654653505995205,1793,3614,-1821,3316041
5257,fire destroy ancient tibetan town china,fire destroy tibetan town china,4.400000095367432,0.8688513074745198,5259,5120,139,19321
5258,yahoo agree buy number billion cash,yahoo buy number million,5.0,0.6667085261420301,3895,5578,-1683,2832489
5259,india start vote world large election,india voter kick big election,5.0,0.3102738260574908,1483,5577,-4094,16760836
5260,war bomb northern syria kill,syrian airstrike kill aleppo,2.0,0.10036708483493512,528,1811,-1283,1646089
5261,philippine quaker death toll limb,death toll philippines quaker jump,2.799999952316284,0.5323935629755064,2893,2715,178,31684
5262,search end miss asylum seeker,search narrow miss man,1.399999976158142,0.42895321341500187,2174,1345,829,687241
5263,ukrainian president order day ceasefire east,agenda president museveni agree sign anti day,0.2000000029802322,0.19465128511381635,964,376,588,345744
5264,icc champions trophy india vs south africa,champions trophy india v south africalive,4.329999923706055,0.6020284283825481,3420,4951,-1531,2343961
5265,supreme court take affirmative action michigan ban case,supreme court hear michigan affirmative action case,4.400000095367432,0.8602403327690908,5222,5047,175,30625
5266,headline major cranial newspaper kept,headline major cranial newspaper sov,3.0,0.7730458840148282,4672,2764,1908,3640464
5267,cyclone leave trail destruction india,cyclone hamlin evacuation keep indian villager alive,2.400000095367432,0.2167720379561472,1035,2205,-1170,1368900
5268,taliban kill police west afghanistan,drone kill eastern afghanistan,0.6000000238418579,0.33053297806113713,1597,692,905,819025
5269,thousand rally support battle tunisia government,thousand gather support islamist government tunisia,4.599999904632568,0.6304950933607674,3635,5169,-1534,2353156
5270,south africa angela take hospital,elson angela take hospital,4.800000190734863,0.542768416066707,2972,5391,-2419,5851561
5271,updated explosion near finish line boston marathon,explosion boston marathon finish line,5.0,0.8216422071554997,4995,5571,-576,331776
5272,kill southern egypt clash,kill north caucasus train station blast,0.4000000059604645,0.09195470138237141,495,528,-33,1089
5273,winter storm state state,winter storm anus state state,3.0,0.8387369252551125,5098,2778,2320,5382400
5274,corpse men round south baghdad,iraqi official body find south baghdad,3.5999999046325684,0.3611859994443273,1759,3823,-2064,4260096
5275,comb attack kill baghdad christian area,bomb baghdad christian area,3.0,0.7090087570795162,4209,3038,1171,1371241
5276,china set fili trial date,china fili trial fourth day,3.200000047683716,0.5980171835509684,3392,3246,146,21316
5277,muslims prepare start ramadan,muslims pray end division,0.800000011920929,0.2631808927515376,1244,811,433,187489
5278,japan scramble jet russian military plane,separatists ukraine military plane dead,0.800000011920929,0.29091073598127254,1373,828,545,297025
5279,thousand prisons claim dole germany,thousand white clothe amsterdammers march,1.0,0.160304068719367,820,1099,-279,77841
5280,suspect drone strike kill pakistan,suspect drone target islamic seminary pakistan,2.200000047683716,0.499800501522068,2656,2112,544,295936
5281,drama sign obamacare,drama visit tornado hit oklahoma,0.4000000059604645,0.16407642409977555,834,536,298,88804
5282,general electric post profit drop quarter,post profit drop quarter,5.0,0.7899217484380244,4798,5565,-767,588289
5283,china juan weaken usd,china juan strengthen new high usd,2.0,0.6097645342757608,3482,1888,1594,2540836
5284,russia find dead lawyer magnitski guilty posthumous trial,russia convict dead lawyer magnitski posthumous trial,5.0,0.8623321621219603,5232,5583,-351,123201
5285,trayvon,trayvon martin,2.799999952316284,0.7071067811865476,4189,2669,1520,2310400
5286,china send large fleet dispute island,china ship enter water dispute island,3.400000095367432,0.5288977818951832,2851,3659,-808,652864
5287,merry plan start talk call release palestinian inmate,merry plan include prisoner release settlement freeze,3.400000095367432,0.3830042684433843,1899,3556,-1657,2745649
5288,police explosion belfast cathedral quarter,explosion paul suicide attack diplomatic area,2.0,0.18303637245362253,923,1922,-999,998001
5289,syrian protest erdogan paris venezuelan stress support syria,turkey erdogan ran mend tie split syria,1.399999976158142,0.23999748224657824,1124,1320,-196,38416
5290,crime minister seek nuclear deal investment japan visit,manmohan hope clinch nuclear deal japan,3.0,0.3308372626926639,1602,3037,-1435,2059225
5291,postpone missile test n tension,embassy staying despite tension,1.2000000476837158,0.2781140800291949,1320,1205,115,13225
5292,drama meet privately family elson angela,drama meet angela family,4.599999904632568,0.7291478963633489,4358,5162,-804,646416
5293,dead shoot damage,dead somalia attack,0.4000000059604645,0.2495995340676053,1168,553,615,378225
5294,luman kill philippine political violence,kill philippines volcano eruption,0.6000000238418579,0.07724275995713056,445,721,-276,76176
5295,israel drone lebanon,israel shoot drone lebanon,5.0,0.8733800304970829,5295,5604,-309,95481
5296,israel approve release group palestinian prisoner ahead peace talk,syrian opposition confirm participation peace talk,1.0,0.22634525227958713,1070,1010,60,3600
5297,deadly clash egypt mark anniversary,violent clash mark anniversary egypt uprise,4.599999904632568,0.6169170419800665,3545,5158,-1613,2601769
5298,nato americans kill southern afghanistan,roadside bomb kill policeman southern afghanistan,1.600000023841858,0.43994847875607834,2249,1457,792,627264
5299,woman dress woman steal cash,cctv work come dress woman trick pensioner,3.799999952316284,0.2484025001810154,1160,4195,-3035,9211225
5300,cleveland kidnapped cry gastro round hanged prison,cleveland kidnap cry gastro find hang cell,5.0,0.3736374527826488,1837,5602,-3765,14175225
5301,google unveils prototype self driving war,google unveils concept self driving war,5.0,0.7886813737527099,4788,5601,-813,660969
5302,bangladesh garment factory fire kill,bangladesh garment factory collapse kill,2.0,0.9121284416671681,5451,1939,3512,12334144
5303,seek reassure wary gulf ally ran deal,age seek reassure battery gulf ally ran deal,4.0,0.7400663720327324,4455,4571,-116,13456
5304,ukraine host unity,hope hit war sell syria,0.0,0.0,259,346,-87,7569
5305,pakistan musharraf arrest bhutto assassination,pakistan musharraf arrive court time,2.400000095367432,0.39733894103544526,1986,2195,-209,43681
5306,trial late met egypt slim brotherhood chief,syria slim brotherhood face uphill battle,2.200000047683716,0.336055235593687,1630,2107,-477,227529
5307,red short live escape,march war,0.0,0.0,256,280,-24,576
5308,israel doctor try abroad force feed palestinian prisoner,israel west bank control cost palestinian economy billion,0.2000000029802322,0.17569707752958386,896,387,509,259081
5309,washington shops prepare historic tales,washington pot shop prepare historic sale,5.0,0.512943989237169,2749,5607,-2858,8168164
5310,rio airport worker strike eve fifa world,rio de janeiro airport worker strike eve world,5.0,0.7810364049489208,4728,5597,-869,755161
5311,slim brotherhood leader kill,egypt arrest slim brotherhood leader,1.399999976158142,0.7796403373005613,4719,1322,3397,11539609
5312,ran global power sign landmark nuclear deal,ran world power clinch breakthrough nuclear deal,5.0,0.4226268999092719,2143,5595,-3452,11916304
5313,air balloon patches fire virginia,air balloon patches fire rashes,2.799999952316284,0.7480370325310679,4512,2649,1863,3470769
5314,quote leader family angela memorial,world unite angela memorial,2.400000095367432,0.4436593657777395,2271,2187,84,7056
5315,lumbar indians put place,indonesians vote president tight race,0.0,0.0,115,284,-169,28561
5316,share remain high mid afternoon,share continue trend mid afternoon,4.400000095367432,0.6026076158424829,3421,5028,-1607,2582449
5317,papers sov,papers act,2.799999952316284,0.5641669551754692,3137,2652,485,235225
5318,amazon launch new device streaming video,amazon unveil new fire stream video box,4.199999809265137,0.412632702312128,2085,4849,-2764,7639696
5319,palestinian president receive jordanian foreign minister,palestinian arrest sexually harass young girl,0.0,0.1312963295596926,704,286,418,174724
5320,drama nominate new transportation secretary,drama foot battle veterans secretary,0.2000000029802322,0.32004796393108165,1540,400,1140,1299600
5321,china juan weaken usd,china juan strengthen usd friday,1.600000023841858,0.6287402677981225,3620,1494,2126,4519876
5322,french raid wine cellar austerity auction,praise ukraine deal call concrete action,0.2000000029802322,0.0,53,377,-324,104976
5323,russia agree seizure syria chemical weapon,syrian rebel skeptically chemical weapon deal,1.399999976158142,0.2665338782823293,1267,1323,-56,3136
5324,s visit kaesong complex,demand talk closed factory,1.399999976158142,0.0,52,1324,-1272,1617984
5325,algerian priest lecture christian heritage africa,telstra apply list china site,0.0,0.0,51,326,-275,75625
5326,headline major cranial newspaper april,headline major cranial newspaper august,3.0,0.8147241707661844,4950,2800,2150,4622500
5327,complication palestinian reconciliation,belgian king address nation amid indication speculation,0.6000000238418579,0.0,49,702,-653,426409
5328,hijacker arrest plane land geneva airport,hijacked aircraft land geneva,3.0,0.4015499511280842,2016,2794,-778,605284
5329,pcb appoint makar wounds head coach,makar wounds pakistan coach,5.0,0.6885726644071241,4057,5656,-1599,2556801
5330,make case action syria,maude urge action israel strikes syria,2.400000095367432,0.3299488900535275,1593,2225,-632,399424
5331,ankara protest clash police,peru protest clash police,1.7999999523162842,0.5306257639580839,2870,1651,1219,1485961
5332,kill wound violent attack ran,kill wound fresh attack ran,2.200000047683716,0.6540752754681517,3808,2132,1676,2808976
5333,huerta arrest production child pornography,indian arrest suspicion rape,0.4000000059604645,0.13042153071687082,698,580,118,13924
5334,ukraine sign trade russia finalize crimea annexation,ukraine court dismiss crimea independence unconstitutional,2.0,0.28175491581440054,1336,1828,-492,242064
5335,sad warn turkey heavy price back syrian rebel,cabinet war arm syrian rebel,1.0,0.28115288373264014,1334,1052,282,79524
5336,indian stock close low,long long stock close high,1.7999999523162842,0.3159362982821664,1514,1655,-141,19881
5337,kill wound violent attack ran,kill wound attack ran,2.799999952316284,0.8008693790461509,4871,2599,2272,5161984
5338,indian rape accuse face verdict,indian rape accuse find guilty,3.799999952316284,0.6593679204625269,3846,4067,-221,48841
5339,ran nuclear deal agree talk,ran nuclear real heal decades long dispute,3.5999999046325684,0.21304377515841566,1023,3766,-2743,7524049
5340,egyptian military spokesman denounce incitement army,labor ministry announcement monday,0.0,0.0,42,331,-289,83521
5341,dowden see chance fair trial,dowden see chance fair trial,5.0,1.0000000000000004,5749,5720,29,841
5342,headline major cranial newspaper dec,headline major cranial newspaper july,2.200000047683716,0.7544979779607704,4557,2024,2533,6416089
5343,dozen injure connecticut train collision,indian minister kill head collision,0.2000000029802322,0.30439381486326234,1444,415,1029,1058841
5344,queen visit britain new prince,queen meet britain new baby prince,5.0,0.752986972952441,4547,5718,-1171,1371241
5345,ukraine kill parliament protest,ukraine president walls talks protest,1.0,0.37398665061012726,1838,1043,795,632025
5346,operator charge fair accident,state hair ride operator arrest accident,4.400000095367432,0.5138801937725246,2753,5008,-2255,5085025
5347,transcript reveal confusion evacuation south organ ferry,transcript reveal confusion merry evacuation,3.5999999046325684,0.7641268289210963,4626,3775,851,724201
5348,fall firefighter bring home,street end slightly low,0.2000000029802322,0.0,40,419,-379,143641
5349,syria regime agree attend peace conference,russia syria agrees participate conference,4.800000190734863,0.2807882415443871,1332,5416,-4084,16679056
5350,vote reject military action,britain reject syria military action,3.400000095367432,0.7139087187771826,4249,3648,601,361201
5351,new zealand set realise gay marriage,new zealand vote realise sex marriage,4.400000095367432,0.7183492423508842,4283,5018,-735,540225
5352,singapore stock end,singapore stock close high,3.0,0.6277674542523621,3611,2906,705,497025
5353,venezuelan president visit china,senegalese president visit china,1.7999999523162842,0.5320857893468158,2887,1657,1230,1512900
5354,cairo protest defy crackdown threat,cairo camps protesters fig,3.5999999046325684,0.21947602557498308,1045,3765,-2720,7398400
5355,kiss plane search turn vietnamese island,kiss malaysia airline plane clash vietnam,3.0,0.27933873690938166,1324,2901,-1577,2486929
5356,official malaysia airline brief relative miss flight passenger search progress,malaysia airline investigation co pilot miss flight,1.0,0.4936589803145716,2614,1083,1531,2343961
5357,star pay tribute tory monteith,star pay tribute james earner,2.200000047683716,0.5813822659888896,3254,2083,1171,1371241
5358,os angeles airport worker charge make threat,os angeles airport worker charge threat,5.0,0.9403408911022013,5531,5714,-183,33489
5359,note heads friday,note heads friday august,2.200000047683716,0.86860581597333,5258,2082,3176,10086976
5360,cristiano donald hat trick fire portugal world final,donald hat trick fire portugal world,4.800000190734863,0.8170063208802665,4969,5425,-456,207936
5361,britain prince philip set exploratory surgery,prince philip hospitalize,3.0,0.48828589113413845,2570,2758,-188,35344
5362,japan start hear sale tax ex bank deputy urge gradual rise,japan start hearing propose tax like,3.5999999046325684,0.3430570949658308,1674,3778,-2104,4426816
5363,bomb attack kill soldier civilian,school bomb attack kill southern thailand,1.0,0.404675912508497,2037,1028,1009,1018081
5364,italian pilgrim die bus plunge,passenger dead italy bus plunge,3.799999952316284,0.4087697150784872,2056,4254,-2198,4831204
5365,strong new quaker hit shatter oak region,powerful new earthquake hit shatter pakistan region,5.0,0.5635267324160462,3131,5712,-2581,6661561
5366,syrian opposition offer sad truce duration ramadan,syrian opposition offer sad force truce duration ramadan,4.599999904632568,0.9616170896428133,5572,5164,408,166464
5367,dead somalia attack,die ran prison attack,2.200000047683716,0.2102281432101925,1016,1970,-954,910116
5368,estate mall attacker spend month plan nairobi,estate attacker spend month plan nairobi say official,4.599999904632568,0.8651012097331493,5247,5155,92,8464
5369,security council call humanitarian ceasefire papa,security council walls unconditional ease fire papa,4.800000190734863,0.3874607685023148,1924,5469,-3545,12567025
5370,magnitude quaker hit honshu japan cenc,magnitude earthquake bolt taiwan cenc,2.0,0.3951647265474627,1969,1960,9,81
5371,chinese share close high tuesday,chinese share close lower wednesday,2.200000047683716,0.5490429955672977,3021,1989,1032,1065024
5372,war bombs iraqi capital,war coming kill civilian iraqi capital,2.400000095367432,0.5807302552629694,3252,2298,954,910116
5373,ukrainian protest street anti government rally,ukraine protest couple vein statue kiev,2.5999999046325684,0.10123722169852241,538,2434,-1896,3594816
5374,canadian freight train blast death toll hit rise,canadian government monitoring train blast situation,2.200000047683716,0.40086972193469406,2012,2108,-96,9216
5375,nigel garage call government let syrian refugee,plan settle syrian refugee,2.400000095367432,0.3558162133094338,1738,2268,-530,280900
5376,israel teres urge return peace talk,gonsalves keep pressure tom rep,0.2000000029802322,0.0,68,405,-337,113569
5377,china juan strengthen usd tuesday,china juan weaken usd,1.7999999523162842,0.6298815677390316,3627,1649,1978,3912484
5378,radio israel set increase palestinian prisoner release,israel delay palestinian prisoner release,1.600000023841858,0.6051443713767791,3442,1499,1943,3775249
5379,dorsi supporter reject plan,dorsi supporter march egypt,2.400000095367432,0.567343451407327,3162,2282,880,774400
5380,egypt court sentence brotherhood supporter death source,turkish tell supporter prepare ally,0.2000000029802322,0.19505649839799674,965,403,562,315844
5381,drama condemn kill israel ten,body miss israel ten find west bank,1.399999976158142,0.1697925029636992,869,1326,-457,208849
5382,man try beheld soldier london street court hear,australia speed indonesia president report,0.0,0.0,67,342,-275,75625
5383,ukraine protest rebuild barricade,ruin speak ukraine protest rebuild barricade,3.400000095367432,0.8426720229094729,5121,3661,1460,2131600
5384,el smith dead mourn comedy favourite,tariff bone el smith force life,2.400000095367432,0.3360989955849004,1632,2233,-601,361201
5385,dead hurt new work building collapse,dead hurt french building collapse,1.600000023841858,0.7601876444332173,4605,1502,3103,9628609
5386,chinese share close high tuesday,chinese stock close low thursday,1.600000023841858,0.389903587004097,1939,1510,429,184041
5387,india ink image july,india ink image march,3.0,0.7633553639949702,4619,2936,1683,2832489
5388,sign muslims celebrate kill afghanistan,sign muslims celebrate die pakistan afghanistan,3.5999999046325684,0.8301704093495936,5050,3965,1085,1177225
5389,russian coal mine seek new outlet china,russian foreign minister meet chief,0.4000000059604645,0.14520486465809207,757,500,257,66049
5390,pro russia protest demand great autonomy,sudanese protest demand regime outer,1.399999976158142,0.24765405101788796,1157,1327,-170,28900
